id,name,is_animation_studio,site_url,favorites
6628,CGCG Studio Inc.,True,https://anilist.co/studio/6628,0
6284,Nur,False,https://anilist.co/studio/6284,47
6285,Bomb! Cute! Bomb!,False,https://anilist.co/studio/6285,13
6386,Green Monster Team,True,https://anilist.co/studio/6386,2
6939,Tama Art University,False,https://anilist.co/studio/6939,15
6286,storyriders,False,https://anilist.co/studio/6286,0
6287,sankaku,False,https://anilist.co/studio/6287,0
6714,OTOIRO,True,https://anilist.co/studio/6714,6
6298,Studio Houkiboshi,True,https://anilist.co/studio/6298,50
6993,Smile Company,False,https://anilist.co/studio/6993,0
6872,Choirock,True,https://anilist.co/studio/6872,0
6290,G-angle,True,https://anilist.co/studio/6290,2
6350,Planet Cartoon,True,https://anilist.co/studio/6350,0
6702,Comic Animation,True,https://anilist.co/studio/6702,1
6406,Stella Promotion,False,https://anilist.co/studio/6406,0
6790,Manga Productions,False,https://anilist.co/studio/6790,6
6448,Build Dream,True,https://anilist.co/studio/6448,4
6731,miHoYo,False,https://anilist.co/studio/6731,65
6729,miHoYo Anime,False,https://anilist.co/studio/6729,69
6307,Monster's Egg,True,https://anilist.co/studio/6307,1
6415,CAAnimation,False,https://anilist.co/studio/6415,0
6511,Emoto Entertainment,False,https://anilist.co/studio/6511,1
6498,Studio elle,True,https://anilist.co/studio/6498,2
6338,Coco Cartoon,True,https://anilist.co/studio/6338,2
6603,Yoshimoto Music,False,https://anilist.co/studio/6603,0
6781,Legs,False,https://anilist.co/studio/6781,0
6302,Hot Zipang ,False,https://anilist.co/studio/6302,2
6356,Korea Investment Partners,False,https://anilist.co/studio/6356,0
6355,Beijing Resolution,False,https://anilist.co/studio/6355,0
6357,Media Castle,False,https://anilist.co/studio/6357,0
6455,Piso Studio,True,https://anilist.co/studio/6455,0
6914,Grayscale Arts Inc.,False,https://anilist.co/studio/6914,0
6913,D’ART Shtajio,True,https://anilist.co/studio/6913,1
7299,Bandai Namco Online,False,https://anilist.co/studio/7299,1
6534,Joy Pictures,False,https://anilist.co/studio/6534,0
6451,Super Normal Studio,True,https://anilist.co/studio/6451,3
6380,BigBigSun,True,https://anilist.co/studio/6380,0
6452,I.G Zwei,True,https://anilist.co/studio/6452,2
6611,Septeni Holdings,False,https://anilist.co/studio/6611,2
6606,Pokelabo,False,https://anilist.co/studio/6606,0
7234,Aquaplus,False,https://anilist.co/studio/7234,4
7097,Live Viewing Japan,False,https://anilist.co/studio/7097,0
6707,Japan Volleyball Association,False,https://anilist.co/studio/6707,1
6694,Keika Co. Ltd.,True,https://anilist.co/studio/6694,0
6848,Arect,True,https://anilist.co/studio/6848,3
6315,SUSPENDERS,True,https://anilist.co/studio/6315,0
6617,Dazed ,False,https://anilist.co/studio/6617,0
6316,ALBACROW,True,https://anilist.co/studio/6316,1
6376,Blaze Studio,True,https://anilist.co/studio/6376,0
6427,Lunch Box,True,https://anilist.co/studio/6427,1
6320,Chongzhuo Animation,True,https://anilist.co/studio/6320,2
6423,Beijing Boyichuangwei Digital Media,False,https://anilist.co/studio/6423,1
