staff_id,occupation
107357,Illustrator
121206,Animator
121209,Animator
121209,Storyboard Artist
267597,Translator
281634,Translator
96932,Mangaka
141363,Writer
141363,Artist
119140,Mangaka
96883,Mangaka
113107,Mangaka
118699,Artist
136863,Illustrator
136863,Writer
185558,Mangaka
112573,Mangaka
96882,Mangaka
100059,Mangaka
119257,Mangaka
97405,Mangaka
118717,Artist
118717,Mangaka
108241,Mangaka
103604,Mangaka
98703,Mangaka
146232,Animator
142278,Animator
156154,Animator
148188,Animator
156155,Animator
119819,Animator
142279,Animator
156379,Animator
156988,Animator
156382,Animator
264302,Animator
264303,Animator
264305,Animator
264304,Animator
264306,Animator
110651,Vocalist
113249,Writer
113249,Musician
113249,Composer
95022,Voice Actor
151827,Audio Engineer
230313,Translator
102153,Composer
102153,Arranger
142260,Director
142260,Storyboard Artist
142258,Director
142258,Storyboard Artist
124351,Animator
146102,Director
95156,Voice Actor
160052,Producer
105875,Artist
95027,Voice Actor
95027,Vocalist
95031,Voice Actor
100207,Vocalist
100207,Lyricist
100631,Band
102342,Voice Actor
102428,Band
103110,Audio Engineer
103143,Director
106018,Lyricist
107425,Vocalist
107425,Musician
109941,Musician
118482,Character Designer
118482,Illustrator
105900,Mangaka
126425,Illustrator
124024,Character Designer
108139,Mangaka
108139,Illustrator
119802,Artist
121676,Animator
100077,Composer
100077,Lyricist
118967,Animator
104787,Animator
121951,Band
97628,Mangaka
157587,Art Director
109351,Arranger
109351,Composer
150362,Arranger
150362,Composer
107017,Voice Actor
110919,Voice Actor
141083,Voice Actor
151336,Voice Actor
123609,Voice Actor
151974,Producer
109031,Producer
153873,Producer
104737,Mangaka
104737,Illustrator
293206,Translator
304820,Translator
97312,Mangaka
95869,Voice Actor
95869,Vocalist
149511,Producer
138755,Scriptwriter
104437,Animator
125819,Director
125819,Animator
95158,Voice Actor
133408,Lyricist
133408,Composer
182528,Digital Artist
166881,Editor
107655,Director
107655,Storyboard Artist
148149,Animator
148149,Designer
142261,Director
142261,Storyboard Artist
225286,Translator
121251,Director
121251,Storyboard Artist
121251,Animator
103260,Mangaka
129164,Mangaka
136037,Mangaka
136037,Illustrator
219572,Lettering
225585,Letterer
242267,Translator
300819,Translator
113823,Director
113823,Animator
118584,Arranger
118584,Composer
125291,Animator
102511,Voice Actor
128754,Voice Actor
134972,Background Artist
119428,Scriptwriter
104572,Director
104572,Storyboarder
104572,Scriptwriter
105280,Director
105280,Storyboarder 
102561,Director
102561,Storyboarder
102561,Scriptwriter
101403,Animator
101403,Designer
102156,Director
102156,Storyboarder 
126654,Director
126654,Animator
145786,Animator
145786,Director
142255,Storyboarder 
149239,Director
149239,Storyboarder 
118928,Director
118928,Animator
100657,Director
100657,Storyboard Artist
144208,Director
144208,Storyboarder 
133415,Director
133415,Storyboarder 
141190,Director
141190,Storyboarder 
102469,Sound Director
113001,Animator
122071,Director
122071,Animator
123305,Animator
135180,Director
135180,Animator
277120,Producer
286986,Producer
148235,Producer
149237,Animator
149238,Director
149238,Storyboarder
166558,Producer
156916,Production Assistant
130907,Animator
150375,Animator
145879,Animator
138562,Editor
156843,Painter
148301,Composite Artist
156844,Producer
148239,Producer
142328,Producer
142407,Producer
142489,Producer
142338,Producer
118956,Band
166577,Producer
166579,Music Prodcer
190864,Composer
190864,Arranger
148377,Producer
148376,Producer
103267,Producer
152630,Producer
138499,Producer
148300,Producer
142339,Producer
110991,Mangaka
