media_id,status,amount
5667,CURRENT,549
5667,PLANNING,4595
5667,COMPLETED,25686
5667,DROPPED,268
5667,PAUSED,286
9181,CURRENT,1310
9181,PLANNING,8912
9181,COMPLETED,41872
9181,DROPPED,717
9181,PAUSED,615
13663,CURRENT,1559
13663,PLANNING,11729
13663,COMPLETED,43800
13663,DROPPED,987
13663,PAUSED,808
20995,CURRENT,1391
20995,PLANNING,8980
20995,COMPLETED,32569
20995,DROPPED,680
20995,PAUSED,767
21852,CURRENT,330
21852,PLANNING,3840
21852,COMPLETED,14746
21852,DROPPED,102
21852,PAUSED,131
21853,CURRENT,485
21853,PLANNING,3553
21853,COMPLETED,13386
21853,DROPPED,124
21853,PAUSED,248
100659,CURRENT,218
100659,PLANNING,3256
100659,COMPLETED,7095
100659,DROPPED,76
100659,PAUSED,96
121848,CURRENT,15
121848,PLANNING,127
121848,COMPLETED,269
121848,DROPPED,2
121848,PAUSED,0
52519,CURRENT,1789
52519,PLANNING,2558
52519,COMPLETED,5092
52519,DROPPED,412
52519,PAUSED,426
109316,CURRENT,29
109316,PLANNING,195
109316,COMPLETED,385
109316,DROPPED,7
109316,PAUSED,4
109315,CURRENT,34
109315,PLANNING,187
109315,COMPLETED,426
109315,DROPPED,6
109315,PAUSED,1
30040,CURRENT,536
30040,PLANNING,3527
30040,COMPLETED,2993
30040,DROPPED,232
30040,PAUSED,360
68,CURRENT,1112
68,PLANNING,10473
68,COMPLETED,16944
68,DROPPED,1390
68,PAUSED,1361
2589,CURRENT,44
2589,PLANNING,788
2589,COMPLETED,2057
2589,DROPPED,26
2589,PAUSED,39
71835,CURRENT,28
71835,PLANNING,331
71835,COMPLETED,210
71835,DROPPED,8
71835,PAUSED,5
160524,CURRENT,17
160524,PLANNING,161
160524,COMPLETED,231
160524,DROPPED,2
160524,PAUSED,0
13851,CURRENT,961
13851,PLANNING,3631
13851,COMPLETED,17443
13851,DROPPED,327
13851,PAUSED,711
149278,CURRENT,7
149278,PLANNING,45
149278,COMPLETED,100
149278,DROPPED,1
149278,PAUSED,0
3455,CURRENT,4562
3455,PLANNING,25331
3455,COMPLETED,61208
3455,DROPPED,5884
3455,PAUSED,3883
119493,CURRENT,3753
119493,PLANNING,3292
119493,COMPLETED,999
119493,DROPPED,887
119493,PAUSED,520
142849,CURRENT,4608
142849,PLANNING,8966
142849,COMPLETED,2518
142849,DROPPED,2139
142849,PAUSED,1642
108482,CURRENT,13
108482,PLANNING,73
108482,COMPLETED,210
108482,DROPPED,2
108482,PAUSED,0
31012,CURRENT,19
31012,PLANNING,138
31012,COMPLETED,141
31012,DROPPED,5
31012,PAUSED,4
86685,CURRENT,23
86685,PLANNING,162
86685,COMPLETED,86
86685,DROPPED,11
86685,PAUSED,4
47606,CURRENT,103
47606,PLANNING,383
47606,COMPLETED,594
47606,DROPPED,46
47606,PAUSED,25
7590,CURRENT,865
7590,PLANNING,7562
7590,COMPLETED,11465
7590,DROPPED,1038
7590,PAUSED,633
