media_id,related_media_id,relation_type
20996,21588,SIDE_STORY
20996,97889,SEQUEL
20996,15335,PREQUEL
20996,30044,ADAPTATION
15335,918,PARENT
15335,20996,SEQUEL
15335,15417,PREQUEL
15417,9969,PREQUEL
15417,20996,SEQUEL
15417,30044,ADAPTATION
15417,15335,SEQUEL
15417,20882,SIDE_STORY
9969,918,PREQUEL
9969,15417,SEQUEL
9969,9863,CHARACTER
9969,20760,ALTERNATIVE
9969,30044,ADAPTATION
9969,169000,SUMMARY
9863,31414,ADAPTATION
9863,16395,SIDE_STORY
9863,9969,CHARACTER
9863,10775,SUMMARY
9863,16718,OTHER
16395,31414,ADAPTATION
16395,9863,PARENT
31414,16395,ADAPTATION
31414,9863,ADAPTATION
31414,50065,ALTERNATIVE
31414,53598,ADAPTATION
31414,43891,CHARACTER
31414,30044,CHARACTER
31414,135895,ALTERNATIVE
31414,128896,OTHER
128896,31414,OTHER
50065,31414,ALTERNATIVE
43891,31414,CHARACTER
43891,30043,CHARACTER
43891,39711,CHARACTER
43891,30047,CHARACTER
43891,30671,CHARACTER
30671,5667,ADAPTATION
30671,9181,ADAPTATION
30671,3455,ADAPTATION
30671,49018,ALTERNATIVE
30671,52519,SEQUEL
30671,86685,SPIN_OFF
30671,109315,SIDE_STORY
30671,43891,CHARACTER
30671,47606,CHARACTER
30671,119493,OTHER
5667,3455,PREQUEL
5667,9181,SEQUEL
5667,30671,ADAPTATION
9181,5667,PREQUEL
9181,13663,SEQUEL
9181,30671,ADAPTATION
13663,9181,PREQUEL
13663,52519,ADAPTATION
13663,13851,SIDE_STORY
13663,20995,SEQUEL
20995,13663,PREQUEL
20995,52519,ADAPTATION
20995,21852,SEQUEL
21852,20995,PREQUEL
21852,52519,ADAPTATION
21852,21853,SEQUEL
21853,52519,ADAPTATION
21853,100659,SEQUEL
21853,21852,PREQUEL
100659,21853,PREQUEL
100659,121848,ADAPTATION
121848,100659,ADAPTATION
121848,52519,PARENT
52519,13663,ADAPTATION
52519,13851,ADAPTATION
52519,30671,PREQUEL
52519,71835,SIDE_STORY
52519,20995,ADAPTATION
52519,21852,ADAPTATION
52519,21853,ADAPTATION
52519,109316,SIDE_STORY
52519,121848,SIDE_STORY
52519,109315,PARENT
52519,30040,CHARACTER
52519,149278,SIDE_STORY
52519,160524,SIDE_STORY
109316,52519,PARENT
109316,109315,PREQUEL
109315,30671,PARENT
109315,52519,OTHER
109315,109316,SEQUEL
30040,68,ADAPTATION
30040,52519,CHARACTER
68,30040,ADAPTATION
