media_id,synonym
143763,Nadeko Draw
143764,Musubimonogatari: Bind Tale
143764,Zenka Mermaid
143764,Nozomi Golem
143764,Mitome Wolf
143764,Tsuzura Human
100355,Shinobumonogatari: Endurance Tale
100355,Shinobu Mastered
143775,Yoimonogatari: Evening Tale
143775,Mayoi Snail
143775,Mayoi Snake
143776,Amarimonogatari: Leftover Tale
143776,Yotsugi Body
143776,Yotsugi Buddy
143776,Yotsugi Shadow
143778,Ougimonogatari: Fan Tale
143778,Ougi Light
143778,Ougi Flight
143780,Shinomonogatari: Death Tale
143780,Shinobu Suicide
143780,Nadeko Around
165881,Hitagi Honeymoon
165881,ひたぎハネモーン
110415,Mix Story
110415,Mixed Story
48161,Sword Tale 
48161,KATANAGATARI: Sword Tale
48161,Đao ngữ
6594,Sword Story
100995,Legend of Eccentric Youth! Nishio Academy
48162,Zerozaki Soushiki's Human Exam
48162,Ningen Series
58075,Zerozaki Soushiki's Humanity Test
87161,Kishishiki Zerozaki's Human Knock
144028,Zerozaki Kishishiki's Human Knock
144028,Ningen Series
144029,Zerozaki Magashiki's Human Character
144029,Ningen Series
144030,Zerozaki Hitoshiki's Human Relations: Relations with Niounomiya Izumu
144030,Ningen Series
144031,Zerozaki Hitoshiki's Human Relations: Relations with Iori Mutou
144031,Ningen Series
144032,Zerozaki Hitoshiki's Human Relations: Relations with Zerozaki Soushiki
144032,Ningen Series
144033,Hitoshiki Zerozaki's Human Relations: Relations with the Nonsense User
144033,Ningen Series
143838,Strangulation: Kubishime Romanticist - No Longer Human - Hitoshiki Zerozaki
143838,Zaregoto Series
143838,Lời nói đùa
143838,Kẻ siết cổ mộng mơ: Zerozaki Hitoshiki – Mất tư cách làm người
39726,Decapitation: Kubikiri Cycle - The Blue Savant and The Nonsense User
39726,Lời nói đùa
39726,Zaregoto Series
39726,วัฏสังหารแห่งการบั่นคอ รหัสคดีไร้สาระ 
39726,Vòng xoáy chặt đầu: Bác học màu lam và kẻ thích bông đùa
87272,The First Love of Humanity's Strongest
87272,The Unrequited Love of Mankind's Strongest
87272,Saikyou Series
144085,The Pure Love of Humanity's Strongest
144085,The Passionate Love of Mankind's Strongest
144085,The Flirting of Mankind's Strongest
144085,Jun Aikawa's Failure Miss/ion1: 4321 Scribbles
144085,Jun Aikawa's Failure Miss/ion2: The Altercation Association
144085,Saikyou Series
144083,The Heartbeat of Humanity's Strongest
144083,The Love Affair of Mankind's Strongest
144083,Jun Aikawa's Failure Miss/ion3: Too Dead to Die
144083,Jun Aikawa's Failure Miss/ion4: Battle of Wits with the Digital Detective
144083,Jun Aikawa's Failure Miss/ion5: The Undefeated Gambler and the Failed Contractor
144083,Saikyou Series
144086,The Sweetheart of Humanity's Strongest
144086,The Love Song of Humanity's Strongest
144086,The XOXO of Humanity's Strongest
144086,The Love Fortune of Humanity's Strongest
144086,The June Bride of Humanity's Strongest
144086,The Platonic of Humanity's Strongest
144086,Saikyou Series
144087,The Venice of Humanity's Strongest
21803,Zaregoto Series
21803,Decapitation Cycle
101912,Sangatsu no Phantasia: Cobalt World
143839,Hanging High School
143839,Zaregoto Series
143839,Lời nói đùa
143839,Học viện Treo cổ - Đệ tử của Kẻ thích bông đùa
143840,Psycho Logical (Part One): Gaisuke Utsurigi's Nonsense Killer
143840,Psycho Logical (Part Two): Sour Little Song
143840,サイコロジカル（上）　兎吊木垓輔の戯言殺し
143840,サイコロジカル（下）　曳かれ者の小唄
143841,"Cannibal Magical: Niounomiya Siblings, Masters of Carnage"
143842,Uprooted Radical (Part One): The Thirteen Stairs
143842,Uprooted Radical (Part Two): Overkill Red vs. The Orange Seed
143842,Uprooted Radical (Part Three): The Blue Savant and the Nonsense User
143842,ネコソギラジカル（上）　十三階段
143842,ネコソギラジカル（中）　赤き征裁ＶＳ．橙なる種
143842,ネコソギラジカル（下）　青色サヴァンと戯言遣い
153411,Kidnap Kidding: The Blue Savant and the Nonsense User's Daughter
153411,Zaregoto Series
108931,悲鳴傳
51115,Our Broken World
51115,Sekai Series
144054,Eerie and Artless Enclosed World
144054,Sekai Series
144055,The World We Broke
144055,Sekai Series
144056,Our Eerie and Artless Enclosed Broken World
144056,Sekai Series
144057,My World
144057,Sekai Series
45200,Mahou Shoujo Risuka
45200,New Authentic Magical Girl Risuka
45200,Risuka Series
126755,New Authentic Magical Girl Risuka
126755,Shin Honkaku Magical Girl Risuka
126755,"Risuka, la nueva y auténtica chica mágica"
126755,ริสึกะ มิติใหม่ของสาวน้อยเวทมนตร์
126574,Mahou Shoujo Risuka
126574,New Authentic Magical Girl Risuka
113428,Bishounen Series
113428,PBDC
113428,美少年侦探团
113428,ขบวนการนักสืบหนุ่มรูปงาม
97629,The Memorandum of Kyouko Okitegami
97629,Boukyaku Tantei Series
97629,Forgetful Detective Series
97629,Okitegami Kyoko - Sổ ghi chép
86808,The Memorandum of Kyoko Okitegami
144128,The Ultimatum of Kyouko Okitegami
144128,Boukyaku Tantei Series
144128,Forgetful Detective Series
144128,หนังสือท้าทายถึงยอดนักสืบเคียวโกะ
144129,The Testament of Kyouko Okitegami
144129,Boukyaku Tantei Series
144129,Forgetful Detective Series
144130,The Resignation Letter of Kyouko Okitegami
144130,Boukyaku Tantei Series
144130,Forgetful Detective Series
144131,The Marriage Registration of Kyouko Okitegami
144131,Boukyaku Tantei Series
144131,Forgetful Detective Series
144132,The Household Ledger of Kyouko Okitegami
144132,Boukyaku Tantei Series
144132,Forgetful Detective Series
144133,The Travel Journal of Kyouko Okitegami
144133,Boukyaku Tantei Series
144133,Forgetful Detective Series
144134,The Back Cover of Kyouko Okitegami
144134,Boukyaku Tantei Series
144134,Forgetful Detective Series
144135,The Color Chart of Kyouko Okitegami
144135,Boukyaku Tantei Series
144135,Forgetful Detective Series
144136,The Train Ticket of Kyouko Okitegami
144136,Boukyaku Tantei Series
144136,Forgetful Detective Series
144137,The Blueprint of Kyouko Okitegami
144137,Boukyaku Tantei Series
144137,Forgetful Detective Series
144138,The License of Kyouko Okitegami
144138,Boukyaku Tantei Series
144138,Forgetful Detective Series
144127,The Testimonial of Kyouko Okitegami
144127,Boukyaku Tantei Series
144127,Forgetful Detective Series
144127,Okitegami Kyoko - Thư tiến cử
74227,Yotsugi Doll
143726,Hitagi End
143724,Shinobu Time
143722,Nadeko Medusa
20918,Possession Tale
21262,End Tale
21520,Calendar Tale
11597,Fake Tale
11597,Истории подделок
11597,ปกรณัมของเทียม
95265,Nisemonogatari Short Stories
143703,Karen Bee
143703,Tsukihi Phoenix
143743,Koyomi Stone
143743,Koyomi Flower
143743,Koyomi Sand
143743,Koyomi Water
143743,Koyomi Wind
143743,Koyomi Tree
143743,Koyomi Tea
143743,Koyomi Mountain
143743,Koyomi Torus
143743,Koyomi Seed
143743,Koyomi Nothing
143743,Koyomi Dead
104434,Madogatari
106790,Nisekoi Live Action Special
77000,High Kyuu!! x Nisekoi
77000,Nisekoi x High Kyuu!!
65243,Ball High!!
65243,HQ!!
65243,High Kyuu!!
65243,ไฮคิว!! คู่ตบฟ้าประทาน
65243,Haikyu!! - Chàng khổng lồ tí hon
20992,ไฮคิว!! คู่ตบฟ้าประทาน ภาค 2
21698,Haikyu!! Karasuno High vs Shiratorizawa Academy
21698,Haikyuu!! 3
21698,ไฮคิว!! คู่ตบฟ้าประทาน ภาค 3
98885,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou Recap
98885,Haikyuu!! Recap 4
98885,排球少年剧场版 观念之战
98885, ไฮคิว!! คู่ตบฟ้าประทาน เดอะมูฟวี่ 4
98884,排球少年剧场版 才能与感觉
98884,ไฮคิว!! คู่ตบฟ้าประทาน เดอะมูฟวี่ 3
21244,排球少年剧场版 胜者与败者
21244,ไฮคิว!! คู่ตบฟ้าประทาน เดอะมูฟวี่ 2
21120,排球少年剧场版 结束与开始
21120,ไฮคิว!! คู่ตบฟ้าประทาน เดอะมูฟวี่ 1
20464,High Kyuu!!
20464,HAIKYÛ !!
20464,排球少年！！
20464,Haikyu!! L'asso del volley
20464,ไฮคิว!! คู่ตบฟ้าประทาน
115217,Haikyuu!! Puppet Animation
115217,Haikyuu!! Stop-motion Animation
115217,Haikyuu!! Figure Animation
20884,Haikyuu!!: Jump Festa 2014 Special
20884,Haikyuu!!: Lev Genzan!
20884,Haikyuu!! OVA
20884, Haikyu‼ OAD: Lev Appears! 
20884,Haikyu!!: Lev ist hier!
107263,Haikyuu!! Quest Drama DVD
107263,Haikyu Quest
111790,"ボールの""道"""
111790,"Booru no ""Michi"""
111790,"The ""Path"" of the Ball"
111790,Haikyuu!! OVA
111790,ไฮคิว คู่ตบฟ้าประทาน Riku vs Kuu OVA
106625,Haikyu!! Season 4
106625,Haikyuu!! Season 4
106625,ไฮคิว!! คู่ตบฟ้าประทาน ภาค 4 Part 1
106625,排球少年!! 第四季
113538,ไฮคิว!! คู่ตบฟ้าประทาน ภาค 4 Part 2
113538,Haikyu!! Season 4 Part 2
113538,排球少年!! 第四季
153658,ハイキュー!! FINAL 第1クール
153658,Haikyuu!! FINAL Part 1
107351,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen
21348,Haikyuu!!: Jump Festa 2015 Special
21348,Haikyuu!! OVA
21348, Haikyu‼ OAD: VS Failing Marks 
86054,คู่ตบ(มุก)ฟ้าประทาน
91850,High Kyuu!! Shousetsu-ban!!
91850,ไฮคิว คู่ตบฟ้าประทาน 
60987,Ball High!!
60987,HQ!!
60987,High Kyuu!!
109512,ハイキュー部!!
85194,Ore x Koi!!
85194,Ore Monogatari x Nisekoi Crossover
85194,Orekoi!!
85194,Oremonogatari x Nisekoi~Boys Side
85194,Oremonogatari x Nisekoi~Girls Side
66933,Ore Monogatari
66933,Câu chuyện tình tôi
66933,Mon histoire
20946,Mon Histoire
82389,Ore Raido
82389,Ao Haru Ride x Ore Monogatari!! Crossover Special
54294,Blue Spring Ride
54294,Aoharaido
54294,Ścieżki Młodości - Ao Haru Ride
54294,Omokage
54294,Sono wo Shitteru
54294,Strobe Edge
54294,A un passo da te
54294,Gençlik Yolculuğu
63297,Aoharaido
20596,Aoharaido
20837,Ao Haru Ride OVA
37378,Strobe Edge ~Unfinished Map~
37378,Strobe Edge ~Another Light~
37378,Colorless Dreamer
92493,Blue Spring Ride awaken
92493,Aoharaido awaken
90097,Nisekoi: Urabanashi
91144,Komi Naoshi Tanpenshuu
91144,Island
91144,Williams
91144,Personant
91144,Apple
91144,Nisekoi Pilot
91144,Nisekoi Prototype
91144,Koi no Kamisama
35801,Island
36943,Koi no Kamisama
36943,Koi no Kami sama
78151,境界觸發者
128605,Food Wars One-shot
