media_id,score,amount
91752,60,15
91752,70,9
91752,80,6
91752,90,4
91752,100,4
47288,30,2
47288,50,2
47288,60,6
47288,70,8
47288,80,4
47288,90,5
47288,100,1
135895,40,1
135895,70,1
53598,40,1
53598,50,1
53598,60,1
53598,70,2
53598,80,3
53598,90,1
16718,10,11
16718,20,6
16718,30,3
16718,40,12
16718,50,43
16718,60,41
16718,70,44
16718,80,12
16718,90,6
16718,100,5
10775,10,6
10775,20,7
10775,30,3
10775,40,12
10775,50,41
10775,60,69
10775,70,56
10775,80,36
10775,90,16
10775,100,15
169000,50,1
169000,90,3
169000,100,3
20760,10,48
20760,20,7
20760,30,10
20760,40,14
20760,50,85
20760,60,138
20760,70,387
20760,80,632
20760,90,574
20760,100,581
20882,10,15
20882,20,8
20882,30,18
20882,40,33
20882,50,133
20882,60,274
20882,70,753
20882,80,1036
20882,90,551
20882,100,491
21588,10,56
21588,20,10
21588,30,35
21588,40,49
21588,50,199
21588,60,449
21588,70,1324
21588,80,2437
21588,90,1867
21588,100,1520
21501,10,51
21501,20,10
21501,30,15
21501,40,29
21501,50,142
21501,60,245
21501,70,717
21501,80,1001
21501,90,498
21501,100,512
2951,10,53
2951,20,13
2951,30,25
2951,40,62
2951,50,224
2951,60,446
2951,70,1169
2951,80,1575
2951,90,735
2951,100,747
34836,10,5
34836,20,4
34836,30,14
34836,40,18
34836,50,55
34836,60,87
34836,70,127
34836,80,72
34836,90,42
34836,100,17
7472,10,79
7472,20,19
7472,30,41
7472,40,68
7472,50,271
7472,60,566
7472,70,1993
7472,80,4517
7472,90,4888
7472,100,3529
9735,10,45
9735,20,9
9735,30,12
9735,40,23
9735,50,119
9735,60,215
9735,70,547
9735,80,716
9735,90,442
9735,100,545
52810,20,2
52810,30,3
52810,40,9
52810,50,26
52810,60,23
52810,70,44
52810,80,37
52810,90,20
52810,100,11
95458,10,26
95458,30,2
95458,50,9
95458,60,4
95458,70,5
95458,80,16
95458,90,15
95458,100,18
75757,10,117
75757,20,76
75757,30,230
75757,40,432
75757,50,824
75757,60,1582
75757,70,3143
75757,80,4331
75757,90,3202
75757,100,1666
110338,10,19
110338,20,9
110338,30,36
110338,40,47
110338,50,96
110338,60,144
110338,70,271
110338,80,212
110338,90,133
110338,100,105
114043,10,455
114043,20,413
114043,30,950
114043,40,1719
114043,50,3012
114043,60,5246
114043,70,10291
114043,80,10323
114043,90,6931
114043,100,4634
109963,10,250
109963,20,162
109963,30,515
109963,40,969
109963,50,2583
109963,60,5186
109963,70,14037
109963,80,19217
109963,90,12523
109963,100,6627
100773,10,190
100773,20,132
100773,30,432
100773,40,800
100773,50,2376
100773,60,4917
100773,70,14203
100773,80,23155
100773,90,15185
100773,100,7348
101924,10,29
101924,20,18
101924,30,64
101924,40,147
101924,50,516
101924,60,1053
101924,70,2552
101924,80,1955
101924,90,1008
101924,100,672
99255,10,310
99255,20,120
99255,30,469
99255,40,890
99255,50,2863
99255,60,6167
99255,70,18532
99255,80,31389
99255,90,21301
99255,100,10097
21518,10,320
21518,20,149
21518,30,361
21518,40,890
21518,50,2908
21518,60,6415
21518,70,21566
21518,80,39478
21518,90,27071
21518,100,12255
20923,10,790
20923,20,422
20923,30,881
20923,40,1583
20923,50,4376
20923,60,8441
20923,70,26948
20923,80,49744
20923,90,37882
20923,100,19015
21691,10,42
21691,20,35
21691,30,119
21691,40,232
21691,50,834
21691,60,1903
21691,70,4067
21691,80,2483
21691,90,1191
21691,100,765
98702,10,45
98702,20,38
98702,30,117
98702,40,218
98702,50,956
98702,60,2079
98702,70,5308
98702,80,4257
98702,90,1930
98702,100,1325
105229,10,3
105229,30,3
105229,40,5
105229,50,20
105229,60,30
105229,70,48
105229,80,39
105229,90,22
105229,100,6
86160,10,4
86160,20,2
86160,30,2
86160,40,7
86160,50,28
86160,60,57
86160,70,133
86160,80,128
86160,90,56
86160,100,56
90653,10,1
90653,40,2
90653,50,8
90653,60,11
90653,70,25
90653,80,25
90653,90,16
90653,100,9
61499,10,173
61499,20,128
61499,30,370
61499,40,594
61499,50,1069
61499,60,2005
61499,70,4137
61499,80,5280
61499,90,3814
61499,100,2634
85825,10,9
85825,20,15
85825,30,11
85825,40,29
85825,50,50
85825,60,92
85825,70,117
85825,80,65
85825,90,41
85825,100,25
20728,10,80
20728,20,94
20728,30,233
20728,40,432
20728,50,1222
20728,60,2397
20728,70,5151
20728,80,3930
20728,90,1755
20728,100,1081
18897,10,654
18897,20,506
18897,30,1172
18897,40,2216
18897,50,5626
18897,60,10679
18897,70,24348
18897,80,28177
18897,90,15353
18897,100,7261
20876,10,418
20876,20,411
20876,30,949
20876,40,1945
20876,50,4627
20876,60,8792
20876,70,19359
20876,80,17299
20876,90,8727
20876,100,4211
119947,10,73
119947,20,79
119947,30,152
119947,40,308
119947,50,723
