character_id,alternative_name,is_spoiler
29595,Hermit Slayer,False
29595,Laughing Red Tigress,False
29595,Mighty Chevalier,False
29595,Sturm and Drang,False
89372,The Forgetful Detective,False
54409,Maiori Zerozaki (零崎舞織),False
44997,Strategist-in-Chief,False
44997,Strategist,False
33208,Princess,False
149982,Humanity's Last,False
149982,The Orange Seed,False
150027,Mayumi the Seer,False
150027,Mayu,False
150197,Kuroneko-san,False
149979,"Carnival (Cannibal),Field Work",False
149921,The Red Witch of Time,False
149921,Risuka the Witch Hunter,False
36564,Masked Maid,False
44999,Berserker,False
44999,Piercing Darkness,False
44999,Yamitsuki,False
44999,Dark Stab,False
44993,Hime-chan,False
44993,The Nonsense User's Pupil,False
44993,Himecchi,False
44993,Signal Yellow (Danger Signal),False
44993,Zig Zag,True
149920,Hero,False
149920,Commander Evil,False
212923,Lai Fudatsuki,False
28523,Yousha,True
29594,Blue Savant,False
29594,Living Time Table,False
29594,Walking Wrath,False
29594,Dead Blue,False
29594,Verge,False
29594,Blue on the Verge of Death,False
29593,Ii-chan,False
29593,Ii-tan,False
29593,Ikkun,False
29593,Inoji,False
29593,Nonsense User,False
29593,Defective Product,False
29593,Humanity's Weakest,False
29593,Harakiri Masochist,False
29593,Spooky E,False
29593,Monkey Talk,False
34293,Human Failure,False
34293,No Longer Human,False
34293,The Prowler,False
34293,Toshiki Migiwame (汀目俊希),False
139671,Kogoro,False
139671,Manabu the Aesthete,False
139671,Leader,False
54405,Mind Render (自殺志願),False
54405,Ren (レン),False
149981,Man Eater (Cannibal),False
149981,Killing Field,False
142829,"Seamless Bias (愚神礼賛),",False
142829,式岸軋騎,True
142829,Kishiki Shikigishi,True
142829,Bad Kind (街),True
142829,Gucchan,True
142828,Bolt Keep (少女趣味),False
44995,Zig Zag (病蜘蛛),False
44995,Sick Spider,False
187866,Grim Reaper,False
219031,Teruko's Master,False
175851,Green Green Green,False
175851,Malignant Bacteria (害悪細菌),False
175851,Criminal Judge,False
175851,Sacchan,False
277658,闇口濡衣,True
173351,Desert Fox,False
173351,Humanity's Worst,False
173351,Fox-masked man,False
191261,Thought Manipulator,False
191261,操想術師,False
191273,Wrangler,False
191273,飼肓員,False
144730,Hermit,False
144730,Depraved Monk,False
144730,Blackout Suzunashi,False
144730,Violence Neon,False
165033,Witch,False
36591,Tomo,False
169612,Campfires (Eruption),False
169614,Child around 10 years old,False
169614,Desert Eagle,False
169610,Lord of the Island,False
169613,Doctor Coffee Table,False
229801,Mad Demon,False
193682,Early Harvester,False
193682,Kokomin,False
229795,Imaginary Weapon,False
229795,Touno Shigai (滋賀井統乃),True
